x,y,z,mesh-z-velocity
-0.015937921,0.005898255,-0.074906394,0
-0.015481851,0.005669363,-0.074906394,0
-0.014614683,0.005179405,-0.074906394,0
-0.014129357,0.005034441,-0.074906394,0
-0.013903835,0.005064507,-0.074906394,0
-0.014543164,0.006458671,-0.074906394,0
-0.01435885,0.005983978,-0.074906394,0
-0.014131953,0.005511946,-0.074906394,0
-0.015011772,0.005469649,-0.074906394,0
-0.016686715,0.006552178,-0.074906394,0
-0.016318552,0.006218379,-0.074906394,0
-0.018173702,0.008508365,-0.074906394,0
-0.017940613,0.008075681,-0.074906394,0
-0.015868319,0.005976025,-0.074906394,0
-0.01540241,0.005765858,-0.074906394,0
-0.014756916,0.006916895,-0.074906394,0
-0.014519605,0.005355783,-0.074906394,0
-0.014249901,0.005380743,-0.074906394,0
-0.0146405,0.006420787,-0.074906394,0
-0.014470409,0.005922678,-0.074906394,0
-0.0149112,0.00563925,-0.074906394,0
-0.017037999,0.006902704,-0.074906394,0
-0.016609743,0.00662241,-0.074906394,0
-0.016245445,0.006292766,-0.074906394,0
-0.017670279,0.007663486,-0.074906394,0
-0.017367605,0.007272617,-0.074906394,0
-0.018365076,0.008959561,-0.074906394,0
-0.018073626,0.008538424,-0.074906394,0
-0.017845055,0.008117084,-0.074906394,0
-0.018261468,0.008976501,-0.074906394,0
-0.015785243,0.006069216,-0.074906394,0
-0.015321767,0.0058358,-0.074906394,0
-0.014888159,0.007401153,-0.074906394,0
-0.01485855,0.006892969,-0.074906394,0
-0.014652037,0.005790297,-0.074906401,0
-0.014759379,0.006374377,-0.074906394,0
-0.015141162,0.005999576,-0.074906401,0
-0.016956788,0.006967825,-0.074906394,0
-0.016517896,0.006706366,-0.074906394,0
-0.016158195,0.006381804,-0.074906394,0
-0.017579608,0.007714432,-0.074906394,0
-0.017281789,0.007331397,-0.074906394,0
-0.01840226,0.009429742,-0.074906394,0
-0.01835705,0.009880039,-0.074906394,0
-0.018507607,0.009427549,-0.074906394,0
-0.018480733,0.009896256,-0.074906394,0
-0.017954869,0.008574031,-0.074906394,0
-0.017731505,0.008166249,-0.074906394,0
-0.018138701,0.008996507,-0.074906394,0
-0.015630882,0.006116635,-0.074906394,0
-0.014915358,0.007898128,-0.074906394,0
-0.014992015,0.007392371,-0.074906394,0
-0.014982846,0.006863579,-0.074906394,0
-0.014947033,0.006309427,-0.074906394,0
-0.015432508,0.006405083,-0.074906401,0
-0.016859947,0.007045567,-0.074906394,0
-0.016385604,0.006795699,-0.074906394,0
-0.015984375,0.006522952,-0.074906401,0
