##ANSYS Fluent 24.1.0
##
##Generated on: 13:21:59, 23 Sep 2024
##
##Generated from case: FLTG.2-30.cas.h5
##

[Name]
bottom

[Data]
x,y,z,z-velocity
-0.008515276,0.0025454364,-0.074906394,0.0037064503
-0.0085810423,0.0028207819,-0.074906394,0.00019317384
-0.010457029,0.0024979927,-0.074906394,0.00064950791
-0.0099631399,0.0024409003,-0.074906394,0.0038982101
-0.0094688395,0.0024424824,-0.074906394,0.0067738504
-0.0090502445,0.0030901539,-0.074906394,-0.0009561308
-0.0095460396,0.0032774692,-0.074906394,-0.0010045372
-0.010024237,0.0034752307,-0.074906394,-0.00014473349
-0.0089414092,0.0025970235,-0.074906394,0.0040580723
-0.0090898853,0.002860947,-0.074906394,0.0012703136
-0.010917083,0.0026858298,-0.074906394,-0.00080660608
-0.010428093,0.0025976915,-0.074906394,-0.0015663498
-0.0099359462,0.0025617082,-0.074906394,0.00091655954
-0.0094165979,0.0026603038,-0.074906394,0.001489759
-0.0095648672,0.0031531048,-0.074906394,-0.00068908487
-0.01004667,0.0033736853,-0.074906394,-0.00016743988
-0.010510212,0.0036034088,-0.074906394,-8.620166e-05
-0.011367136,0.0028966872,-0.074906394,0.0054516722
-0.009600386,0.002938695,-0.074906394,-0.00016573572
-0.010882621,0.0027838466,-0.074906394,-0.00099105481
-0.010393579,0.0027167483,-0.074906394,-0.0024491958
-0.0098877568,0.002765493,-0.074906394,-0.00090796413
-0.010073806,0.0032508895,-0.074906394,-0.0002059902
-0.010539274,0.0035035824,-0.074906394,-0.00013528441
-0.010986725,0.00376321,-0.074906394,1.4799136e-05
-0.01180893,0.0031251058,-0.074906394,0.0081680771
-0.011327782,0.0029929571,-0.074906394,0.0043656589
-0.010104352,0.0030519126,-0.074906394,-0.00080959499
-0.010841474,0.002900969,-0.074906394,-0.00094811531
-0.010351455,0.0029077856,-0.074906394,-0.0016786763
-0.012243981,0.0033667772,-0.074906394,0.0082530305
-0.010574427,0.0033828723,-0.074906394,-0.00020688942
-0.01102217,0.0036654845,-0.074906394,0.00012454657
-0.011452724,0.003952194,-0.074906394,0
-0.011765454,0.0032197044,-0.074906394,0.0074944119
-0.011280748,0.0031080737,-0.074906394,0.0032192823
-0.010599558,0.0031976693,-0.074906394,-0.00046061259
-0.010805882,0.0030826037,-0.074906394,-0.0007392171
-0.012673198,0.0036187696,-0.074906394,0.0063371821
-0.012197013,0.0034597756,-0.074906394,0.007268535
-0.011065048,0.0035473118,-0.074906394,0.0003800077
-0.011494304,0.0038569029,-0.074906394,9.1975424e-05
-0.011907751,0.0041683456,-0.074906394,0
-0.011713444,0.0033329001,-0.074906394,0.005939607
-0.011211345,0.0032113416,-0.074906394,0.0020914001
-0.01113209,0.0033594223,-0.074906401,0.0010551339
-0.013097321,0.0038795732,-0.074906394,0.005921612
-0.012623054,0.0037101507,-0.074906394,0.0065287226
-0.012140818,0.0035711322,-0.074906394,0.0055970252
-0.011544622,0.0037416341,-0.074906394,0.001001341
-0.011955686,0.0040760906,-0.074906394,0
-0.01235101,0.0044104545,-0.074906394,0.00035167611
-0.011593509,0.0034263593,-0.074906394,0.0038753895
-0.011644134,0.0036228343,-0.074906394,0.0024028891
-0.013516854,0.0041482626,-0.074906394,0.00073297654
-0.013044355,0.0039694067,-0.074906394,0.0050828983
-0.012563057,0.0038196349,-0.074906394,0.0062417709
-0.012038769,0.0036791246,-0.074906394,0.003317521
-0.01201375,0.0039643887,-0.074906394,0
-0.012406072,0.0043222867,-0.074906394,0.0010368343
-0.012780298,0.0046778624,-0.074906394,-0.00027778978
-0.012103589,0.0038645659,-0.074906394,0.00011328892
-0.013932054,0.0044239508,-0.074906394,-0.0088312672
-0.013461491,0.0042367037,-0.074906394,-0.00048087895
-0.012980909,0.0040770699,-0.074906394,0.0040386892
-0.012473044,0.0039189784,-0.074906394,0.0046566776
-0.012472843,0.0042153914,-0.074906394,0.0021635282
-0.012842936,0.0045948997,-0.074906394,-0.00051644538
-0.013192488,0.0049712383,-0.074906394,-0.00037928915
-0.014343151,0.0047059506,-0.074906394,-0.0082609737
-0.012567969,0.0041050548,-0.074906394,0.0038857532
-0.013874557,0.0045110788,-0.074906394,-0.010366558
-0.013395115,0.0043427269,-0.074906394,-0.0015628248
-0.012855074,0.0041213622,-0.074906394,0.0040661441
-0.012918958,0.0044941874,-0.074906394,-0.0008879503
-0.013262762,0.004894611,-0.074906394,-0.00069773407
-0.01358271,0.0052929129,-0.074906394,-0.0042069969
-0.014749989,0.0049938885,-0.074906394,-0.0083316918
-0.014283638,0.0047917562,-0.074906394,-0.0085541662
-0.013026563,0.0043625664,-0.074906394,0.00021797876
